order_id,customer_id,product_id,quantity
O001,C001,P001,2
O002,C002,P005,1
O003,C003,P008,5
O004,C004,P004,1
O005,C005,P009,3
O006,C006,P002,1
O007,C007,P011,2
O008,C008,P007,4
O009,C009,P003,2
O010,C010,P006,1
O011,C011,P010,6
O012,C012,P014,1
O013,C013,P013,4
O014,C014,P012,2
O015,C015,P015,3
O016,C016,P001,5
O017,C017,P005,2
O018,C018,P008,10
O019,C019,P004,1
O020,C020,P002,2
O021,C001,P011,1
O022,C002,P006,1
O023,C003,P009,7
O024,C004,P014,2
O025,C005,P003,3
O026,C006,P015,2
O027,C007,P007,5
O028,C008,P010,4
O029,C009,P012,1
O030,C010,P013,3
O031,C011,P004,1
O032,C012,P001,2
O033,C013,P005,1
O034,C014,P006,2
O035,C015,P008,8
O036,C016,P002,1
O037,C017,P011,2
O038,C018,P015,1
O039,C019,P009,5
O040,C020,P014,1
O041,C999,P003,2
O042,C004,P999,1
O043,C005,P002,0
O044,C006,P006,-2
O045,C007,P004,abc
O046,,P008,3
O047,C009,,2
O048,C010,P001,
O049,C011,P005,2
O049,C012,P007,1
O050,C013,P010,4
